word,origin_language,reltype
रोटी,Hindi,borrowed_from
روز,Arabic,inherited_from
plasztikus,German,borrowed_from
صرة,Arabic,inherited_from
malaga,French,borrowed_from
kumšt,German,borrowed_from
incultură,French,borrowed_from
zòrèy,French,inherited_from
pizzerie,Italian,derived_from
pensio,Italian,derived_from
quimera,Latin,borrowed_from
काफी,Hindi,borrowed_from
अख़बार,Hindi,borrowed_from
liteira,Latin,derived_from
قاره,Arabic,borrowed_from
hettitt,German,derived_from
gobelin,German,derived_from
راہب,Arabic,derived_from
entsetzen,German,derived_from
φουφού,Greek,derived_from
gravera,French,derived_from
bokser,German,derived_from
κορίτς,Greek,derived_from
شتى,Arabic,inherited_from
adopteren,Latin,derived_from
tacite,Latin,borrowed_from
κορίτς,Greek,derived_from
φουφού,Greek,derived_from
بعت,Arabic,inherited_from
tetrachenă,French,borrowed_from
चाय,Hindi,borrowed_from
juveniel,Latin,derived_from
κορίτς,Greek,derived_from
stinkrob,German,borrowed_from
ysla,Latin,inherited_from
चाय,Hindi,borrowed_from
language area,German,derived_from
मरीयमिपुत्र,Hindi,derived_from
प्याज,Hindi,borrowed_from
ذنب,Arabic,learned_borrowing_from
arpeggione,Italian,borrowed_from
κορτσόπον,Greek,derived_from
φουφού,Greek,derived_from
κορτσόπον,Greek,derived_from
دلاح,Arabic,inherited_from
DiGiovanni,Italian,borrowed_from
κορτσόπον,Greek,derived_from
ascutur,Latin,inherited_from
nara,French,borrowed_from
φουφού,Greek,derived_from
filantróp,German,derived_from
نعاس,Arabic,inherited_from
influx,French,borrowed_from
κορίτς,Greek,derived_from
पुलटिस,Hindi,derived_from
weemoed,German,derived_from
صنية,Arabic,inherited_from
बरफ,Hindi,derived_from
مقفل,Arabic,inherited_from
फिरङ्ग,Hindi,derived_from
κορίτς,Greek,derived_from
apatyt,German,derived_from
magnet,Latin,derived_from
अङ्ग्रेजी,Hindi,derived_from
sekondarjament,Italian,borrowed_from
مذاکره,Arabic,derived_from
ażotu,Italian,borrowed_from
κορίτς,Greek,derived_from
نحاس,Arabic,inherited_from
muspilli,Latin,derived_from
देवभाषा,Hindi,borrowed_from
pihta,German,derived_from
عيوز,Arabic,inherited_from
gebis,German,derived_from
condescend,Latin,derived_from
astensione,Latin,derived_from
हिन्दु,Hindi,borrowed_from
cakken,Latin,derived_from
dominator,French,borrowed_from
اعتراض,Arabic,borrowed_from
federation,French,borrowed_from
पुलटिस,Hindi,derived_from
κορίτς,Greek,derived_from
plagiaat,French,borrowed_from
stirax,French,borrowed_from
testamento,German,borrowed_from
अङ्ग्रेजी,Hindi,derived_from
sabina,Latin,borrowed_from
κορίτς,Greek,derived_from
جبوجي,Arabic,inherited_from
إنقليزي,Arabic,learned_borrowing_from
demilitarizál,German,derived_from
purjă,French,borrowed_from
meitner,German,derived_from
متمول,Arabic,inherited_from
bolkan,Italian,derived_from
rexo,Latin,inherited_from
ratafía,French,borrowed_from
paškanat,Latin,derived_from
bărbier,Italian,borrowed_from
शैंपू,Hindi,derived_from
aprill,German,derived_from
pako,Latin,derived_from
चाय,Hindi,borrowed_from
sortilegiu,Italian,borrowed_from
paralel,German,borrowed_from
अङ्ग्रेजी,Hindi,derived_from
diftongo,French,borrowed_from
pagent,Latin,derived_from
κορτσόπον,Greek,derived_from
बरफ,Hindi,derived_from
nihilisme,German,derived_from
شارع,Arabic,inherited_from
lajb,German,borrowed_from
جاعورة,Arabic,derived_from
knæpa,German,derived_from
هيدا,Arabic,derived_from
احترم,Arabic,inherited_from
taxidermie,French,borrowed_from
recenzie,German,borrowed_from
خرس,Arabic,inherited_from
κορίτς,Greek,derived_from
archiwolta,Italian,derived_from
sacoche,Italian,derived_from
یهودیت,Arabic,borrowed_from
κορτσόπον,Greek,derived_from
exterminațiune,French,borrowed_from
kvaranteno,German,derived_from
शैंपू,Hindi,derived_from
rigal,Italian,borrowed_from
φουφού,Greek,derived_from
capitulație,French,borrowed_from
fautor,Latin,derived_from
fils,French,derived_from
domeno,German,borrowed_from
अस्पृश्यता,Hindi,borrowed_from
φουφού,Greek,derived_from
secretor,French,borrowed_from
misogin,French,borrowed_from
κορτσόπον,Greek,derived_from
shuo,German,derived_from
tanagra,French,borrowed_from
pudel,German,borrowed_from
impregnație,French,borrowed_from
κορτσόπον,Greek,derived_from
besidde,German,derived_from
पुलटिस,Hindi,derived_from
aberració,Latin,derived_from
analīz,German,derived_from
stylus,Latin,borrowed_from
κορίτς,Greek,derived_from
κορίτς,Greek,derived_from
fajansz,German,derived_from
देवभाषा,Hindi,borrowed_from
pomegranate,Latin,derived_from
vestiture,Latin,derived_from
शैंपू,Hindi,derived_from
یتیم,Arabic,borrowed_from
अस्पृश्यता,Hindi,borrowed_from
قسطل,Arabic,inherited_from
politeizmus,German,derived_from
काटकसर,Hindi,derived_from
impie,Latin,borrowed_from
lotto,Italian,borrowed_from
austromarxism,German,borrowed_from
κορτσόπον,Greek,derived_from
تموز,Arabic,borrowed_from
काटकसर,Hindi,derived_from
simpatiza,French,borrowed_from
آذار,Arabic,learned_borrowing_from
φουφού,Greek,derived_from
twen,German,borrowed_from
समोष,Hindi,borrowed_from
φουφού,Greek,derived_from
timpani,Italian,borrowed_from
lëngoj,Latin,borrowed_from
कर्गद,Hindi,borrowed_from
lipye,French,derived_from
cooperație,French,borrowed_from
dismenoree,French,borrowed_from
tentatiaun,Italian,borrowed_from
athenæer,German,borrowed_from
पुलटिस,Hindi,derived_from
κορίτς,Greek,derived_from
insidiatore,Latin,derived_from
κορίτς,Greek,derived_from
temo,German,borrowed_from
somorgujo,Latin,inherited_from
impaciență,French,borrowed_from
totem,French,borrowed_from
calorie,French,borrowed_from
κορτσόπον,Greek,derived_from
cupură,French,borrowed_from
mamelonar,Italian,borrowed_from
जिल्ला,Hindi,derived_from
intrepid,French,borrowed_from
κορτσόπον,Greek,derived_from
okkażjoni,Italian,borrowed_from
κορτσόπον,Greek,derived_from
coordinazione,Latin,derived_from
intellektuell,French,derived_from
castrato,Italian,derived_from
paternoster,German,borrowed_from
हिन्दु,Hindi,borrowed_from
touseg,Latin,derived_from
gazogen,French,borrowed_from
kadaster,French,borrowed_from
Schwarzwälder Kirschtorte,German,borrowed_from
catapulta,French,borrowed_from
تأخر,Arabic,learned_borrowing_from
κορτσόπον,Greek,derived_from
osteotomie,French,borrowed_from
rappelé,French,inherited_from
hedonistic,French,borrowed_from
κορτσόπον,Greek,derived_from
κορίτς,Greek,derived_from
lupo,German,borrowed_from
عیار,Arabic,borrowed_from
conciliator,French,borrowed_from
misere,French,borrowed_from
karmazsin,Italian,borrowed_from
تصرف,Arabic,inherited_from
κορτσόπον,Greek,derived_from
lokum,Latin,derived_from
canalicolo,Latin,derived_from
kopi,Italian,derived_from
arbejde,German,borrowed_from
خشن,Arabic,borrowed_from
crustated,Latin,derived_from
अङ्ग्रेजी,Hindi,derived_from
paro,German,borrowed_from
samară,French,borrowed_from
gondol,Italian,derived_from
κορτσόπον,Greek,derived_from
sastrugi,German,borrowed_from
محکمه,Arabic,borrowed_from
κορίτς,Greek,derived_from
अङ्ग्रेजी,Hindi,derived_from
φουφού,Greek,derived_from
κορίτς,Greek,derived_from
matricide,French,borrowed_from
ancola,French,borrowed_from
φουφού,Greek,derived_from
grafomanie,French,borrowed_from
llebeig,Italian,borrowed_from
نعرہ,Arabic,derived_from
काटकसर,Hindi,derived_from
familio,German,derived_from
struudeli,German,borrowed_from
शैंपू,Hindi,derived_from
كال,Arabic,inherited_from
अस्पृश्यता,Hindi,borrowed_from
tangent,German,derived_from
incendiu,Italian,borrowed_from
कक्षा,Hindi,borrowed_from
marka,French,derived_from
nutrir,Latin,derived_from
compromiseless,German,borrowed_from
monocultură,French,borrowed_from
رشوت,Arabic,borrowed_from
carícia,Italian,derived_from
κορίτς,Greek,derived_from
serenade,Italian,derived_from
κορτσόπον,Greek,derived_from
κορτσόπον,Greek,derived_from
panpsychism,German,derived_from
adsorption,German,borrowed_from
povra,Italian,borrowed_from
exoot,German,borrowed_from
कक्षा,Hindi,borrowed_from
raspi,Italian,derived_from
bergamoto,German,derived_from

consolador,Latin,derived_from
κορίτς,Greek,derived_from
nudisme,German,derived_from
bêrca,Latin,inherited_from
κορτσόπον,Greek,derived_from
purism,French,borrowed_from
اقلا,Arabic,derived_from
مەجبۇرىي,Arabic,borrowed_from
समोष,Hindi,borrowed_from
بالكاد,Arabic,inherited_from
ofidian,French,borrowed_from
κορτσόπον,Greek,derived_from
lottery,Italian,borrowed_from
φουφού,Greek,derived_from
